"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","AirT_1pt5m","AirT_2m","AirT_9pt5m","AirT_10m","RH_2m","RH_10m","Pressure_1","Pressure_2","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2017-04-13 00:00:00","2017","4","13","0","0","30.69","-88.2","56.1","15.81","15.87","15.9","16.39","95.5","96.6","1016.264","1016.304","0.256","281.5","0.002","286.2"
"2017-04-13 00:01:00","2017","4","13","0","1","30.69","-88.2","56.1","15.82","15.88","15.9","16.36","95.5","96.6","1016.262","1016.302","0.183","281.5","0.002","286.2"
"2017-04-13 00:02:00","2017","4","13","0","2","30.69","-88.2","56.1","15.81","15.87","15.89","16.36","95.5","96.6","1016.281","1016.301","0.154","281.5","0.002","286.2"
"2017-04-13 00:03:00","2017","4","13","0","3","30.69","-88.2","56.1","15.8","15.86","15.88","16.34","95.5","96.6","1016.261","1016.301","0.207","281.5","0.002","286.2"
"2017-04-13 00:04:00","2017","4","13","0","4","30.69","-88.2","56.1","15.81","15.89","15.88","16.36","95.5","96.6","1016.282","1016.282","0.265","281.4","0.002","286.2"
"2017-04-13 00:05:00","2017","4","13","0","5","30.69","-88.2","56.1","15.81","15.88","15.88","16.33","95.5","96.6","1016.263","1016.283","0.206","281.4","0.002","286.2"
"2017-04-13 00:06:00","2017","4","13","0","6","30.69","-88.2","56.1","15.81","15.87","15.88","16.33","95.5","96.5","1016.244","1016.264","0.289","281.2","0.002","286.2"
"2017-04-13 00:07:00","2017","4","13","0","7","30.69","-88.2","56.1","15.8","15.87","15.89","16.31","95.5","96.6","1016.264","1016.284","0.292","281.4","0.162","280.3"
"2017-04-13 00:08:00","2017","4","13","0","8","30.69","-88.2","56.1","15.79","15.85","15.88","16.33","95.5","96.7","1016.264","1016.284","0.23","281.3","0.077","278.6"
"2017-04-13 00:09:00","2017","4","13","0","9","30.69","-88.2","56.1","15.79","15.83","15.87","16.3","95.5","96.7","1016.245","1016.285","0.247","281.2","0.011","278.6"
"2017-04-13 00:10:00","2017","4","13","0","10","30.69","-88.2","56.1","15.78","15.82","15.84","16.28","95.5","96.6","1016.243","1016.263","0.284","281","0.002","278.5"
