"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","AirT_1pt5m","AirT_2m","AirT_9pt5m","AirT_10m","RH_2m","RH_10m","Pressure_1","Pressure_2","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2018-01-16 00:00:00","2018","1","16","0","0","30.69","-88.2","56.1","2.24","1.064","3.348","4.139","98.5","95.3","1022.167","1022.227","0.002","247.2","0.002","261"
"2018-01-16 00:01:00","2018","1","16","0","1","30.69","-88.2","56.1","2.279","1.094","3.384","4.126","98.5","95.3","1022.167","1022.227","0.002","247.2","0.002","261"
"2018-01-16 00:02:00","2018","1","16","0","2","30.69","-88.2","56.1","2.32","1.104","3.43","4.18","98.5","95.4","1022.166","1022.246","0.002","247.2","0.002","261"
"2018-01-16 00:03:00","2018","1","16","0","3","30.69","-88.2","56.1","2.314","1.128","3.459","4.19","98.5","95.3","1022.167","1022.248","0.002","247.2","0.002","261"
"2018-01-16 00:04:00","2018","1","16","0","4","30.69","-88.2","56.1","2.296","1.141","3.488","4.22","98.5","95.3","1022.148","1022.209","0.002","247.3","0.002","260.9"
"2018-01-16 00:05:00","2018","1","16","0","5","30.69","-88.2","56.1","2.213","1.108","3.491","4.207","98.5","95.3","1022.148","1022.209","0.002","247.3","0.002","260.9"
"2018-01-16 00:06:00","2018","1","16","0","6","30.69","-88.2","56.1","2.188","1.087","3.491","4.17","98.4","95.3","1022.147","1022.208","0.002","247.3","0.002","260.9"
"2018-01-16 00:07:00","2018","1","16","0","7","30.69","-88.2","56.1","2.199","1.101","3.497","4.163","98.5","95.3","1022.148","1022.209","0.003","247.4","0.002","260.9"
"2018-01-16 00:08:00","2018","1","16","0","8","30.69","-88.2","56.1","2.27","1.141","3.524","4.26","98.5","95.3","1022.147","1022.207","0.023","247.4","0.002","260.9"
"2018-01-16 00:09:00","2018","1","16","0","9","30.69","-88.2","56.1","2.317","1.181","3.537","4.267","98.6","95.3","1022.167","1022.207","0.078","247.4","0.002","260.9"
"2018-01-16 00:10:00","2018","1","16","0","10","30.69","-88.2","56.1","2.344","1.201","3.535","4.283","98.6","95.3","1022.151","1022.231","0.002","247.4","0.002","260.9"
"2018-01-16 00:11:00","2018","1","16","0","11","30.69","-88.2","56.1","2.386","1.194","3.563","4.263","98.6","95.3","1022.153","1022.214","0.002","247.4","0.002","260.9"
"2018-01-16 00:12:00","2018","1","16","0","12","30.69","-88.2","56.1","2.388","1.194","3.567","4.266","98.6","95.2","1022.113","1022.173","0.002","247.4","0.002","260.9"
