"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","AirT_1pt5m","AirT_2m","AirT_9pt5m","AirT_10m","RH_2m","RH_10m","Pressure_1","Pressure_2","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2017-09-29 00:00:00","2017","9","29","0","0","30.69","-88.2","56.1","21.85","21.56","22.3","22.78","88.4","83.4","760.3052","737.0134","0.002","265.6","0.002","251.1"
"2017-09-29 00:01:00","2017","9","29","0","1","30.69","-88.2","56.1","21.85","21.55","22.28","22.77","88.6","83.4","760.4657","737.2142","0.002","265.6","0.002","251.1"
"2017-09-29 00:02:00","2017","9","29","0","2","30.69","-88.2","56.1","21.83","21.56","22.25","22.73","88.6","83.4","760.4077","737.1559","0.002","265.6","0.002","251.1"
"2017-09-29 00:03:00","2017","9","29","0","3","30.69","-88.2","56.1","21.79","21.52","22.23","22.67","88.5","83.5","760.4679","737.2764","0.002","265.6","0.002","251.1"
"2017-09-29 00:04:00","2017","9","29","0","4","30.69","-88.2","56.1","21.77","21.53","22.21","22.69","88.6","83.5","760.386","737.2348","0.002","265.6","0.002","251.1"
"2017-09-29 00:05:00","2017","9","29","0","5","30.69","-88.2","56.1","21.74","21.49","22.19","22.68","88.6","83.6","760.3647","737.1132","0.002","265.6","0.002","251.1"
"2017-09-29 00:06:00","2017","9","29","0","6","30.69","-88.2","56.1","21.71","21.47","22.18","22.64","88.6","83.6","760.367","737.1956","0.002","265.6","0.002","251.1"
"2017-09-29 00:07:00","2017","9","29","0","7","30.69","-88.2","56.1","21.69","21.44","22.17","22.61","88.6","83.6","760.2867","737.1956","0.002","265.6","0.002","251.1"
"2017-09-29 00:08:00","2017","9","29","0","8","30.69","-88.2","56.1","21.67","21.44","22.16","22.62","88.7","83.6","760.225","736.9734","0.002","265.6","0.002","251.1"
"2017-09-29 00:09:00","2017","9","29","0","9","30.69","-88.2","56.1","21.64","21.41","22.14","22.61","88.7","83.8","760.245","737.1741","0.002","265.6","0.002","251.1"
"2017-09-29 00:10:00","2017","9","29","0","10","30.69","-88.2","56.1","21.62","21.37","22.13","22.63","88.6","83.9","760.2059","736.9944","0.173","265.6","0.002","252"
"2017-09-29 00:11:00","2017","9","29","0","11","30.69","-88.2","56.1","21.63","21.38","22.13","22.58","88.8","83.9","760.3464","737.0345","0.403","265.6","0.136","251.9"
