TS,Year,Month,DayOfMon,Hour,Minute,Lat,Lon,Elev,AirT_1pt5m,AirT_2m,AirT_9pt5m,AirT_10m,RH_2m,RH_10m,Pressure_1,Pressure_2,TotalRadn,QuantRadn,WndSpd_2m_WVc_1,WndSpd_2m_WVc_2,WndSpd_2m_WVc_3,WndSpd_10m_WVc_1,WndSpd_10m_WVc_2,WndSpd_10m_WVc_3
9/13/2016 0:00,2016,9,13,0,0,30.69,-88.2,56.1,21.57,21.71,21.7,22.11,93.3,94,1009.891,1009.932,0.033,-0.4010193,0.007,0.007,89.7,0.021,0.019,93.7
9/13/2016 0:01,2016,9,13,0,1,30.69,-88.2,56.1,21.57,21.7,21.7,22.07,93.3,93.9,1009.87,1009.91,0.033,-0.401019,0.038,0.038,89.4,0.002,0.002,136.2
9/13/2016 0:02,2016,9,13,0,2,30.69,-88.2,56.1,21.56,21.7,21.69,22.07,93.2,93.9,1009.893,1009.913,0.033,-0.4010205,0.002,0.002,87.7,0.049,0.046,321.4
9/13/2016 0:03,2016,9,13,0,3,30.69,-88.2,56.1,21.53,21.66,21.68,22.02,93.2,93.8,1009.893,1009.913,0.033,-0.40102,0.002,0.002,349.3,0.132,0.126,347.8
9/13/2016 0:04,2016,9,13,0,4,30.69,-88.2,56.1,21.52,21.65,21.68,22.05,93.2,93.8,1009.853,1009.893,0.033,-0.40102,0.067,0.067,340.8,0.225,0.221,326.3
9/13/2016 0:05,2016,9,13,0,5,30.69,-88.2,56.1,21.52,21.66,21.69,22.09,93.2,93.7,1009.851,1009.891,0.033,-0.4010213,0.16,0.158,313.9,0.459,0.445,354.5
9/13/2016 0:06,2016,9,13,0,6,30.69,-88.2,56.1,21.51,21.63,21.68,22.1,93.3,93.6,1009.853,1009.893,0.033,-0.4010223,0.119,0.119,301.5,0.198,0.182,358.3
9/13/2016 0:07,2016,9,13,0,7,30.69,-88.2,56.1,21.49,21.6,21.69,22.07,93.2,93.6,1009.813,1009.893,0.033,-0.4010215,0.096,0.096,301.6,0.438,0.426,349.7
9/13/2016 0:08,2016,9,13,0,8,30.69,-88.2,56.1,21.48,21.61,21.68,22.07,93.3,93.6,1009.813,1009.873,0.033,-0.4678584,0.216,0.216,302.3,0.397,0.362,0.698
9/13/2016 0:09,2016,9,13,0,9,30.69,-88.2,56.1,21.47,21.62,21.67,22.06,93.4,93.6,1009.789,1009.849,0.033,-0.4010208,0.109,0.109,302.1,0.263,0.252,330.5
9/13/2016 0:10,2016,9,13,0,10,30.69,-88.2,56.1,21.45,21.59,21.65,22.05,93.5,93.7,1009.79,1009.83,0.033,-0.4010202,0.005,0.005,302.1,0.354,0.293,347.7
9/13/2016 0:11,2016,9,13,0,11,30.69,-88.2,56.1,21.45,21.58,21.66,22.09,93.5,93.7,1009.81,1009.83,0.033,-0.4010198,0.002,0.002,301.8,0.34,0.278,348.2
9/13/2016 0:12,2016,9,13,0,12,30.69,-88.2,56.1,21.44,21.57,21.63,22.05,93.6,93.7,1009.77,1009.83,0.033,-0.3341832,0.002,0.002,254.5,0.296,0.261,331.3
