TS,Year,Month,DayOfMon,Hour,Minute,Lat,Lon,Elev,AirT_1pt5m,AirT_2m,AirT_9pt5m,AirT_10m,RH_2m,RH_10m,Pressure_1,Pressure_2,TotalRadn,QuantRadn,WndSpd_Vert,WndSpd_2m_WVc_1,WndSpd_2m_WVc_2,WndSpd_2m_WVc_3,WndSpd_10m_WVc_1,WndSpd_10m_WVc_2,WndSpd_10m_WVc_3
9/27/2016 0:00,2016,9,27,0,0,30.69,-88.2,56.1,21.14,21.28,21.35,21.71,96.9,98.1,1008.567,1008.607,0.033,-0.2005166,0,0.002,0.002,57.34,0.237,0.237,82.8
9/27/2016 0:01,2016,9,27,0,1,30.69,-88.2,56.1,21.13,21.28,21.34,21.67,96.9,98.1,1008.526,1008.606,0.033,-0.2005167,0,0.002,0.002,58.85,0.24,0.24,81.5
9/27/2016 0:02,2016,9,27,0,2,30.69,-88.2,56.1,21.17,21.28,21.32,21.68,96.9,98.1,1008.522,1008.583,0.033,-0.200516,0,0.002,0.002,58.17,0.002,0.002,81.4
9/27/2016 0:03,2016,9,27,0,3,30.69,-88.2,56.1,21.19,21.28,21.31,21.7,96.9,98.1,1008.524,1008.524,0.033,-0.2673562,0,0.384,0.383,306.4,0.002,0.002,81.3
9/27/2016 0:04,2016,9,27,0,4,30.69,-88.2,56.1,21.18,21.27,21.29,21.68,96.9,98,1008.464,1008.524,0.033,-0.2005172,0,0.562,0.562,303.9,0.188,0.186,306.6
9/27/2016 0:05,2016,9,27,0,5,30.69,-88.2,56.1,21.18,21.26,21.27,21.6,96.9,98,1008.485,1008.525,0.033,-0.2673563,0,0.204,0.204,303.3,0.003,0.003,305.9
9/27/2016 0:06,2016,9,27,0,6,30.69,-88.2,56.1,21.16,21.24,21.24,21.63,96.9,98.1,1008.482,1008.502,0.033,-0.2005164,0,0.002,0.002,303.4,0.002,0.002,313.4
9/27/2016 0:07,2016,9,27,0,7,30.69,-88.2,56.1,21.14,21.23,21.22,21.6,96.9,98,1008.486,1008.526,0.033,-0.2673566,0,0.002,0.002,303.5,0.002,0.002,313.4
9/27/2016 0:08,2016,9,27,0,8,30.69,-88.2,56.1,21.13,21.23,21.26,21.65,96.9,98.1,1008.486,1008.526,0.033,-0.2673566,0,0.002,0.002,303.5,0.317,0.313,107.7
9/27/2016 0:09,2016,9,27,0,9,30.69,-88.2,56.1,21.14,21.23,21.28,21.61,96.9,98,1008.424,1008.485,0.033,-0.2673566,0,0.002,0.002,303.5,0.51,0.509,101.9
9/27/2016 0:10,2016,9,27,0,10,30.69,-88.2,56.1,21.16,21.25,21.29,21.65,96.9,98,1008.443,1008.443,0.033,-0.2673555,0,0.002,0.002,307,0.39,0.39,104.6
