"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-09-20 00:00:00","2016","9","20","0","0","30.69","-88.2","56.1","0.408","289","0.389","259.5"
"2016-09-20 00:01:00","2016","9","20","0","1","30.69","-88.2","56.1","0.433","290.1","0.438","259.4"
"2016-09-20 00:02:00","2016","9","20","0","2","30.69","-88.2","56.1","0.524","289.4","0.508","259.5"
"2016-09-20 00:03:00","2016","9","20","0","3","30.69","-88.2","56.1","0.488","288.3","0.532","259.6"
"2016-09-20 00:04:00","2016","9","20","0","4","30.69","-88.2","56.1","0.536","289","0.511","259.6"
"2016-09-20 00:05:00","2016","9","20","0","5","30.69","-88.2","56.1","0.464","289.4","0.5","259.6"
"2016-09-20 00:06:00","2016","9","20","0","6","30.69","-88.2","56.1","0.461","289.5","0.448","259.6"
"2016-09-20 00:07:00","2016","9","20","0","7","30.69","-88.2","56.1","0.397","289.6","0.418","259.6"
"2016-09-20 00:08:00","2016","9","20","0","8","30.69","-88.2","56.1","0.448","289.9","0.369","259.6"
"2016-09-20 00:09:00","2016","9","20","0","9","30.69","-88.2","56.1","0.395","289.9","0.198","259.6"
"2016-09-20 00:10:00","2016","9","20","0","10","30.69","-88.2","56.1","0.34","289.9","0.212","259.6"
"2016-09-20 00:11:00","2016","9","20","0","11","30.69","-88.2","56.1","0.319","289.8","0.199","259.6"
"2016-09-20 00:12:00","2016","9","20","0","12","30.69","-88.2","56.1","0.309","289.6","0.222","259.6"
"2016-09-20 00:13:00","2016","9","20","0","13","30.69","-88.2","56.1","0.304","289.7","0.232","259.6"
"2016-09-20 00:14:00","2016","9","20","0","14","30.69","-88.2","56.1","0.245","289.4","0.178","259.6"
"2016-09-20 00:15:00","2016","9","20","0","15","30.69","-88.2","56.1","0.261","289.3","0.274","259.4"
"2016-09-20 00:16:00","2016","9","20","0","16","30.69","-88.2","56.1","0.297","289.1","0.198","259.2"
"2016-09-20 00:17:00","2016","9","20","0","17","30.69","-88.2","56.1","0.315","289.2","0.209","257.6"
"2016-09-20 00:18:00","2016","9","20","0","18","30.69","-88.2","56.1","0.403","288.9","0.283","256.5"
"2016-09-20 00:19:00","2016","9","20","0","19","30.69","-88.2","56.1","0.292","288.4","0.253","256.5"
"2016-09-20 00:20:00","2016","9","20","0","20","30.69","-88.2","56.1","0.399","289.4","0.211","256.5"
"2016-09-20 00:21:00","2016","9","20","0","21","30.69","-88.2","56.1","0.418","290","0.248","256.5"
"2016-09-20 00:22:00","2016","9","20","0","22","30.69","-88.2","56.1","0.32","289.2","0.359","256.5"
"2016-09-20 00:23:00","2016","9","20","0","23","30.69","-88.2","56.1","0.448","288.8","0.418","253.7"
"2016-09-20 00:24:00","2016","9","20","0","24","30.69","-88.2","56.1","0.483","288.7","0.417","252.9"
"2016-09-20 00:25:00","2016","9","20","0","25","30.69","-88.2","56.1","0.428","288.2","0.35","252.9"
"2016-09-20 00:26:00","2016","9","20","0","26","30.69","-88.2","56.1","0.354","287.9","0.336","252.9"
"2016-09-20 00:27:00","2016","9","20","0","27","30.69","-88.2","56.1","0.372","288.6","0.302","252.9"
"2016-09-20 00:28:00","2016","9","20","0","28","30.69","-88.2","56.1","0.376","289.4","0.201","252.9"
"2016-09-20 00:29:00","2016","9","20","0","29","30.69","-88.2","56.1","0.32","289.9","0.189","252.9"
"2016-09-20 00:30:00","2016","9","20","0","30","30.69","-88.2","56.1","0.238","289.7","0.041","252.9"
"2016-09-20 00:31:00","2016","9","20","0","31","30.69","-88.2","56.1","0.095","289.7","0.002","252.9"
"2016-09-20 00:32:00","2016","9","20","0","32","30.69","-88.2","56.1","0.207","290.1","0.085","254.6"
"2016-09-20 00:33:00","2016","9","20","0","33","30.69","-88.2","56.1","0.286","290.2","0.234","254.6"
"2016-09-20 00:34:00","2016","9","20","0","34","30.69","-88.2","56.1","0.154","290.1","0.129","254.6"
"2016-09-20 00:35:00","2016","9","20","0","35","30.69","-88.2","56.1","0.002","290.1","0.016","254.6"
"2016-09-20 00:36:00","2016","9","20","0","36","30.69","-88.2","56.1","0.002","290","0.002","254.5"
"2016-09-20 00:37:00","2016","9","20","0","37","30.69","-88.2","56.1","0.002","290","0.002","254.5"
"2016-09-20 00:38:00","2016","9","20","0","38","30.69","-88.2","56.1","0.002","289.8","0.002","254.5"
"2016-09-20 00:39:00","2016","9","20","0","39","30.69","-88.2","56.1","0.002","289.7","0.002","254.1"
"2016-09-20 00:40:00","2016","9","20","0","40","30.69","-88.2","56.1","0.237","289.4","0.002","254.1"
"2016-09-20 00:41:00","2016","9","20","0","41","30.69","-88.2","56.1","0.263","289.5","0.002","253.1"
"2016-09-20 00:42:00","2016","9","20","0","42","30.69","-88.2","56.1","0.087","289.7","0.002","253.3"
"2016-09-20 00:43:00","2016","9","20","0","43","30.69","-88.2","56.1","0.216","289.7","0.002","253.3"
