"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","AirT_1pt5m","AirT_2m","AirT_9pt5m","AirT_10m","RH_2m","RH_10m","Pressure_1","Pressure_2","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2017-06-19 00:00:00","2017","6","19","0","0","30.69","-88.2","56.1","21.85","20.92","21.9","22.36","95.9","98.2","1006.841","1006.881","0.002","189.4","0.002","207.4"
"2017-06-19 00:01:00","2017","6","19","0","1","30.69","-88.2","56.1","21.85","20.94","21.88","22.33","95.9","98.2","1006.821","1006.881","0.002","190.1","0.002","208.9"
"2017-06-19 00:02:00","2017","6","19","0","2","30.69","-88.2","56.1","21.85","20.91","21.87","22.34","95.9","98.2","1006.865","1006.905","0.002","191.4","0.002","208.9"
"2017-06-19 00:03:00","2017","6","19","0","3","30.69","-88.2","56.1","21.84","20.92","21.86","22.34","95.9","98.2","1006.841","1006.901","0.002","191.4","0.002","208.9"
"2017-06-19 00:04:00","2017","6","19","0","4","30.69","-88.2","56.1","21.82","20.9","21.84","22.29","95.9","98.2","1006.864","1006.905","0.002","191.4","0.002","209.1"
"2017-06-19 00:05:00","2017","6","19","0","5","30.69","-88.2","56.1","21.81","20.88","21.82","22.29","95.9","98.2","1006.864","1006.905","0.002","191.5","0.002","209.3"
"2017-06-19 00:06:00","2017","6","19","0","6","30.69","-88.2","56.1","21.8","20.89","21.81","22.27","95.9","98.2","1006.865","1006.905","0.002","191.5","0.002","209.3"
"2017-06-19 00:07:00","2017","6","19","0","7","30.69","-88.2","56.1","21.79","20.88","21.81","22.23","95.9","98.2","1006.863","1006.904","0.002","191.4","0.002","209.3"
"2017-06-19 00:08:00","2017","6","19","0","8","30.69","-88.2","56.1","21.78","20.84","21.8","22.26","95.9","98.3","1006.864","1006.904","0.002","191.4","0.002","209.3"
"2017-06-19 00:09:00","2017","6","19","0","9","30.69","-88.2","56.1","21.77","20.83","21.79","22.23","95.9","98.2","1006.864","1006.904","0.002","191.4","0.002","209.3"
"2017-06-19 00:10:00","2017","6","19","0","10","30.69","-88.2","56.1","21.76","20.82","21.78","22.24","95.9","98.2","1006.867","1006.907","0.002","191.3","0.002","209.3"
"2017-06-19 00:11:00","2017","6","19","0","11","30.69","-88.2","56.1","21.77","20.84","21.77","22.23","95.9","98.3","1006.863","1006.923","0.002","191.3","0.002","209.3"
"2017-06-19 00:12:00","2017","6","19","0","12","30.69","-88.2","56.1","21.75","20.82","21.75","22.22","95.9","98.2","1006.904","1006.944","0.002","191.3","0.002","209.6"
"2017-06-19 00:13:00","2017","6","19","0","13","30.69","-88.2","56.1","21.75","20.81","21.74","22.19","95.9","98.2","1006.924","1006.964","0.002","191.8","0.16","237.6"
"2017-06-19 00:14:00","2017","6","19","0","14","30.69","-88.2","56.1","21.76","20.84","21.72","22.18","95.9","98.2","1006.907","1006.987","0.002","191.4","0.005","237.6"
"2017-06-19 00:15:00","2017","6","19","0","15","30.69","-88.2","56.1","21.76","20.81","21.71","22.12","95.9","98.2","1006.923","1006.983","0.002","191.4","0.002","237.6"
"2017-06-19 00:16:00","2017","6","19","0","16","30.69","-88.2","56.1","21.74","20.8","21.69","22.16","95.9","98.2","1006.904","1006.984","0.002","191.3","0.002","237.6"
"2017-06-19 00:17:00","2017","6","19","0","17","30.69","-88.2","56.1","21.74","20.78","21.68","22.12","95.9","98.2","1006.924","1006.964","0.002","191.4","0.002","237.6"
"2017-06-19 00:18:00","2017","6","19","0","18","30.69","-88.2","56.1","21.7","20.79","21.64","22.04","95.9","98.2","1006.905","1006.965","0.002","191.4","0.002","236.6"
"2017-06-19 00:19:00","2017","6","19","0","19","30.69","-88.2","56.1","21.67","20.75","21.63","22.08","95.9","98.3","1006.899","1006.959","0.002","191.4","0.002","236.6"
"2017-06-19 00:20:00","2017","6","19","0","20","30.69","-88.2","56.1","21.67","20.74","21.65","22.09","95.9","98.3","1006.903","1006.943","0.002","191.4","0.002","237.8"
"2017-06-19 00:21:00","2017","6","19","0","21","30.69","-88.2","56.1","21.63","20.73","21.66","22.12","95.9","98.3","1006.903","1006.943","0.271","192.5","0.002","237.8"
"2017-06-19 00:22:00","2017","6","19","0","22","30.69","-88.2","56.1","21.61","20.68","21.63","22.1","95.9","98.2","1006.926","1006.966","0.193","193.3","0.002","237.8"
"2017-06-19 00:23:00","2017","6","19","0","23","30.69","-88.2","56.1","21.6","20.67","21.6","22.01","95.9","98.3","1006.924","1006.964","0.005","193.2","0.002","221.6"
"2017-06-19 00:24:00","2017","6","19","0","24","30.69","-88.2","56.1","21.6","20.69","21.6","22","95.9","98.3","1006.907","1006.967","0.002","192.1","0.002","218.2"
"2017-06-19 00:25:00","2017","6","19","0","25","30.69","-88.2","56.1","21.59","20.65","21.59","22.06","95.9","98.3","1006.907","1006.967","0.002","192.2","0.002","218.2"
"2017-06-19 00:26:00","2017","6","19","0","26","30.69","-88.2","56.1","21.59","20.65","21.6","22.07","95.9","98.3","1006.907","1006.947","0.002","192.2","0.002","218.4"
"2017-06-19 00:27:00","2017","6","19","0","27","30.69","-88.2","56.1","21.59","20.65","21.6","22.03","95.9","98.3","1006.865","1006.925","0.002","192.2","0.002","218.4"
"2017-06-19 00:28:00","2017","6","19","0","28","30.69","-88.2","56.1","21.59","20.63","21.6","22.04","95.9","98.3","1006.865","1006.926","0.002","192.2","0.002","218.3"
"2017-06-19 00:29:00","2017","6","19","0","29","30.69","-88.2","56.1","21.59","20.65","21.6","22.08","95.9","98.3","1006.825","1006.865","0.002","192.2","0.002","218.3"
"2017-06-19 00:30:00","2017","6","19","0","30","30.69","-88.2","56.1","21.61","20.68","21.61","22.08","96","98.4","1006.808","1006.848","0.002","192.2","0.002","218.2"
"2017-06-19 00:31:00","2017","6","19","0","31","30.69","-88.2","56.1","21.62","20.67","21.63","22.11","96","98.4","1006.783","1006.844","0.002","192.1","0.002","218"
"2017-06-19 00:32:00","2017","6","19","0","32","30.69","-88.2","56.1","21.65","20.7","21.66","22.11","96","98.3","1006.764","1006.804","0.002","192.1","0.002","217.9"
"2017-06-19 00:33:00","2017","6","19","0","33","30.69","-88.2","56.1","21.67","20.7","21.67","22.13","96","98.3","1006.744","1006.804","0.002","192.2","0.002","215.1"
