"TS","Year","Month","DayOfMon","DayOfYear","Hour","Minute","WndDir_2m","WndDir_10m","WndSpd_2m","WndSpd_10m","WndSpd_Vert","WndSpd_2m_Std","WndSpd_10m_Std"
"2020-10-27 00:00:00","2020","10","27","301","0","0","45.1","24.13","0.849","1.143","0.002","0.267","0.261"
"2020-10-27 00:01:00","2020","10","27","301","0","1","38.16","36.81","1.078","1.96","0","0.185","0.269"
"2020-10-27 00:02:00","2020","10","27","301","0","2","31.54","38.58","1.535","1.895","-0.002","0.121","0.153"
"2020-10-27 00:03:00","2020","10","27","301","0","3","37.5","30.32","1.797","2.385","0","0.183","0.345"
"2020-10-27 00:04:00","2020","10","27","301","0","4","38.55","35.21","1.633","2.058","0","0.238","0.199"
"2020-10-27 00:05:00","2020","10","27","301","0","5","34.11","40.56","0.849","1.339","0","0.242","0.2"
"2020-10-27 00:06:00","2020","10","27","301","0","6","35.72","26.48","0.947","1.47","0.002","0.185","0.196"
"2020-10-27 00:07:00","2020","10","27","301","0","7","36.89","46.18","0.98","1.274","0","0.21","0.141"
"2020-10-27 00:08:00","2020","10","27","301","0","8","9.43","13.55","1.339","1.437","0","0.288","0.289"
"2020-10-27 00:09:00","2020","10","27","301","0","9","46.67","43.45","1.274","1.666","-0.005","0.111","0.194"
"2020-10-27 00:10:00","2020","10","27","301","0","10","42.93","46.13","0.849","1.405","0","0.203","0.301"
"2020-10-27 00:11:00","2020","10","27","301","0","11","18.25","35.7","0.98","1.437","0","0.251","0.246"
"2020-10-27 00:12:00","2020","10","27","301","0","12","29.06","37.11","1.241","1.895","-0.002","0.26","0.196"
"2020-10-27 00:13:00","2020","10","27","301","0","13","19.12","54.61","1.176","0.784","0","0.219","0.293"
"2020-10-27 00:14:00","2020","10","27","301","0","14","29.54","28.53","1.078","0.947","0","0.177","0.256"
"2020-10-27 00:15:00","2020","10","27","301","0","15","42.16","0.19","0.359","1.666","0","0.166","0.375"
