"TS","Year","Month","DayOfMon","DayOfYear","Hour","Minute","WndSpd_10m_Max"
"2020-10-27 00:00:00","2020","10","27","301","0","0","2.221"
"2020-10-27 00:01:00","2020","10","27","301","0","1","1.993"
"2020-10-27 00:02:00","2020","10","27","301","0","2","2.058"
"2020-10-27 00:03:00","2020","10","27","301","0","3","2.45"
"2020-10-27 00:04:00","2020","10","27","301","0","4","2.548"
"2020-10-27 00:05:00","2020","10","27","301","0","5","1.96"
"2020-10-27 00:06:00","2020","10","27","301","0","6","1.797"
"2020-10-27 00:07:00","2020","10","27","301","0","7","1.731"
"2020-10-27 00:08:00","2020","10","27","301","0","8","2.515"
"2020-10-27 00:09:00","2020","10","27","301","0","9","1.699"
"2020-10-27 00:10:00","2020","10","27","301","0","10","2.025"
"2020-10-27 00:11:00","2020","10","27","301","0","11","2.123"
"2020-10-27 00:12:00","2020","10","27","301","0","12","2.123"
"2020-10-27 00:13:00","2020","10","27","301","0","13","1.96"
"2020-10-27 00:14:00","2020","10","27","301","0","14","1.601"
"2020-10-27 00:15:00","2020","10","27","301","0","15","1.895"
"2020-10-27 00:16:00","2020","10","27","301","0","16","1.927"
"2020-10-27 00:17:00","2020","10","27","301","0","17","2.287"
"2020-10-27 00:18:00","2020","10","27","301","0","18","1.862"
"2020-10-27 00:19:00","2020","10","27","301","0","19","2.025"
"2020-10-27 00:20:00","2020","10","27","301","0","20","1.633"
"2020-10-27 00:21:00","2020","10","27","301","0","21","1.633"
"2020-10-27 00:22:00","2020","10","27","301","0","22","1.633"
"2020-10-27 00:23:00","2020","10","27","301","0","23","1.307"
"2020-10-27 00:24:00","2020","10","27","301","0","24","1.927"
"2020-10-27 00:25:00","2020","10","27","301","0","25","1.731"
"2020-10-27 00:26:00","2020","10","27","301","0","26","1.111"
"2020-10-27 00:27:00","2020","10","27","301","0","27","1.47"
"2020-10-27 00:28:00","2020","10","27","301","0","28","1.241"
"2020-10-27 00:29:00","2020","10","27","301","0","29","2.417"
"2020-10-27 00:30:00","2020","10","27","301","0","30","1.96"
"2020-10-27 00:31:00","2020","10","27","301","0","31","1.699"
"2020-10-27 00:32:00","2020","10","27","301","0","32","0.915"
"2020-10-27 00:33:00","2020","10","27","301","0","33","1.601"
"2020-10-27 00:34:00","2020","10","27","301","0","34","1.307"
"2020-10-27 00:35:00","2020","10","27","301","0","35","1.176"
"2020-10-27 00:36:00","2020","10","27","301","0","36","1.731"
"2020-10-27 00:37:00","2020","10","27","301","0","37","1.699"
"2020-10-27 00:38:00","2020","10","27","301","0","38","1.045"
"2020-10-27 00:39:00","2020","10","27","301","0","39","1.764"
"2020-10-27 00:40:00","2020","10","27","301","0","40","1.666"
"2020-10-27 00:41:00","2020","10","27","301","0","41","1.568"
"2020-10-27 00:42:00","2020","10","27","301","0","42","1.372"
"2020-10-27 00:43:00","2020","10","27","301","0","43","1.535"
"2020-10-27 00:44:00","2020","10","27","301","0","44","1.699"
"2020-10-27 00:45:00","2020","10","27","301","0","45","1.927"
"2020-10-27 00:46:00","2020","10","27","301","0","46","1.96"
"2020-10-27 00:47:00","2020","10","27","301","0","47","1.764"
"2020-10-27 00:48:00","2020","10","27","301","0","48","1.829"
"2020-10-27 00:49:00","2020","10","27","301","0","49","2.025"
"2020-10-27 00:50:00","2020","10","27","301","0","50","1.862"
"2020-10-27 00:51:00","2020","10","27","301","0","51","1.927"
"2020-10-27 00:52:00","2020","10","27","301","0","52","1.339"
"2020-10-27 00:53:00","2020","10","27","301","0","53","1.143"
"2020-10-27 00:54:00","2020","10","27","301","0","54","0.98"
"2020-10-27 00:55:00","2020","10","27","301","0","55","1.307"
"2020-10-27 00:56:00","2020","10","27","301","0","56","1.405"
"2020-10-27 00:57:00","2020","10","27","301","0","57","1.307"
"2020-10-27 00:58:00","2020","10","27","301","0","58","1.47"
"2020-10-27 00:59:00","2020","10","27","301","0","59","0.98"
"2020-10-27 01:00:00","2020","10","27","301","1","0","1.699"
"2020-10-27 01:01:00","2020","10","27","301","1","1","2.025"
"2020-10-27 01:02:00","2020","10","27","301","1","2","1.405"
"2020-10-27 01:03:00","2020","10","27","301","1","3","1.143"
"2020-10-27 01:04:00","2020","10","27","301","1","4","1.176"
"2020-10-27 01:05:00","2020","10","27","301","1","5","1.405"
"2020-10-27 01:06:00","2020","10","27","301","1","6","1.209"
"2020-10-27 01:07:00","2020","10","27","301","1","7","1.633"
"2020-10-27 01:08:00","2020","10","27","301","1","8","1.209"
"2020-10-27 01:09:00","2020","10","27","301","1","9","1.013"
"2020-10-27 01:10:00","2020","10","27","301","1","10","1.274"
"2020-10-27 01:11:00","2020","10","27","301","1","11","1.372"
"2020-10-27 01:12:00","2020","10","27","301","1","12","1.633"
"2020-10-27 01:13:00","2020","10","27","301","1","13","1.339"
"2020-10-27 01:14:00","2020","10","27","301","1","14","1.568"
"2020-10-27 01:15:00","2020","10","27","301","1","15","0.621"
"2020-10-27 01:16:00","2020","10","27","301","1","16","0.915"
"2020-10-27 01:17:00","2020","10","27","301","1","17","1.143"
"2020-10-27 01:18:00","2020","10","27","301","1","18","1.143"
"2020-10-27 01:19:00","2020","10","27","301","1","19","1.111"
"2020-10-27 01:20:00","2020","10","27","301","1","20","0.621"
"2020-10-27 01:21:00","2020","10","27","301","1","21","0.947"
"2020-10-27 01:22:00","2020","10","27","301","1","22","1.176"
"2020-10-27 01:23:00","2020","10","27","301","1","23","0.882"
"2020-10-27 01:24:00","2020","10","27","301","1","24","1.045"
"2020-10-27 01:25:00","2020","10","27","301","1","25","0.882"
"2020-10-27 01:26:00","2020","10","27","301","1","26","0.98"
"2020-10-27 01:27:00","2020","10","27","301","1","27","0.915"
"2020-10-27 01:28:00","2020","10","27","301","1","28","0.882"
"2020-10-27 01:29:00","2020","10","27","301","1","29","0.98"
"2020-10-27 01:30:00","2020","10","27","301","1","30","0.719"
"2020-10-27 01:31:00","2020","10","27","301","1","31","0.719"
"2020-10-27 01:32:00","2020","10","27","301","1","32","1.078"
"2020-10-27 01:33:00","2020","10","27","301","1","33","0.98"
"2020-10-27 01:34:00","2020","10","27","301","1","34","0.751"
"2020-10-27 01:35:00","2020","10","27","301","1","35","1.535"
"2020-10-27 01:36:00","2020","10","27","301","1","36","2.189"
"2020-10-27 01:37:00","2020","10","27","301","1","37","1.862"
"2020-10-27 01:38:00","2020","10","27","301","1","38","1.568"
"2020-10-27 01:39:00","2020","10","27","301","1","39","1.372"
"2020-10-27 01:40:00","2020","10","27","301","1","40","1.111"
"2020-10-27 01:41:00","2020","10","27","301","1","41","1.274"
"2020-10-27 01:42:00","2020","10","27","301","1","42","1.176"
"2020-10-27 01:43:00","2020","10","27","301","1","43","1.437"
"2020-10-27 01:44:00","2020","10","27","301","1","44","1.307"
"2020-10-27 01:45:00","2020","10","27","301","1","45","1.339"
"2020-10-27 01:46:00","2020","10","27","301","1","46","1.176"
"2020-10-27 01:47:00","2020","10","27","301","1","47","1.307"
"2020-10-27 01:48:00","2020","10","27","301","1","48","0.98"
"2020-10-27 01:49:00","2020","10","27","301","1","49","0.817"
"2020-10-27 01:50:00","2020","10","27","301","1","50","1.078"
"2020-10-27 01:51:00","2020","10","27","301","1","51","1.307"
"2020-10-27 01:52:00","2020","10","27","301","1","52","0.882"
"2020-10-27 01:53:00","2020","10","27","301","1","53","1.437"
