Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/06/13 16:53:34.7887,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.93,21.33,43.9,23.59,2013/09/01,00:01:07,0,0,-17,0,
2017/06/13 16:53:35.9687,1.180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.99,32.64,66,37.83,2017/06/07,17:09:02,-88.2122621,30.4921112,27.105,4,
2017/06/13 16:53:35.9946,1.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.91,32.61,65.9,37.87,2017/06/07,17:09:03,-88.2122645,30.4921102,26,4,
2017/06/13 16:53:36.0209,1.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.95,32.68,64.8,37.83,2017/06/07,17:09:04,-88.2122691,30.4921102,25.565,4,
2017/06/13 16:53:36.0469,1.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.88,32.59,64.9,37.62,2017/06/07,17:09:05,-88.2122689,30.4921118,25.545,4,
2017/06/13 16:53:36.0730,1.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.87,32.32,62.1,38,2017/06/07,17:09:06,-88.2122675,30.4921119,25.789,4,
2017/06/13 16:53:36.0987,1.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.89,32.48,63.3,38,2017/06/07,17:09:07,-88.2122675,30.4921109,26.039,4,
2017/06/13 16:53:36.1247,1.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.87,32.3,65,37.83,2017/06/07,17:09:08,-88.2122713,30.4921111,25.859,4,
2017/06/13 16:53:36.1509,1.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.86,32.52,69.6,38.22,2017/06/07,17:09:09,-88.2122724,30.4921106,26.116,4,
2017/06/13 16:53:36.1771,1.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.89,32.13,63.4,38.04,2017/06/07,17:09:10,-88.2122782,30.4921086,25.103,4,
