Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/06/13 16:45:05.6425,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.18,21.47,34.2,22.09,2013/09/01,00:01:58,0,0,-17,0,
2017/06/13 16:45:06.0068,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.04,28.55,55,32.64,2017/06/07,17:09:32,-88.2122374,30.4921618,31.046,4,
2017/06/13 16:45:06.0329,0.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.04,28.57,54.8,32.3,2017/06/07,17:09:33,-88.2122458,30.4921545,29.014,4,
2017/06/13 16:45:06.0589,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,28.48,55.8,32.12,2017/06/07,17:09:34,-88.2122462,30.4921235,26.786,4,
2017/06/13 16:45:06.0850,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.05,28.54,55.5,32.3,2017/06/07,17:09:35,-88.2122425,30.4921358,26.848,4,
2017/06/13 16:45:06.1112,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.04,28.48,54.5,32.55,2017/06/07,17:09:36,-88.2122423,30.4921177,25.586,4,
2017/06/13 16:45:06.1371,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.07,28.46,54.9,32.42,2017/06/07,17:09:37,-88.2122442,30.4921041,24.597,4,
2017/06/13 16:45:06.1631,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.02,28.53,55.6,32.25,2017/06/07,17:09:38,-88.2122466,30.492085,23.273,4,
2017/06/13 16:45:06.1893,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.16,28.45,55.1,32.04,2017/06/07,17:09:39,-88.2122452,30.4920822,23.048,4,
2017/06/13 16:45:06.2150,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.08,28.55,56.7,32.21,2017/06/07,17:09:40,-88.2122421,30.4920969,23.974,4,
2017/06/13 16:45:06.2411,0.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.11,28.55,56.3,31.78,2017/06/07,17:09:41,-88.2122385,30.492113,25.21,4,
2017/06/13 16:45:06.2672,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.1,28.41,55.6,32.68,2017/06/07,17:09:42,-88.2122348,30.4921269,26.103,4,
2017/06/13 16:45:06.2932,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,28.41,55.8,32.64,2017/06/07,17:09:43,-88.2122318,30.4921274,26.602,4,
2017/06/13 16:45:06.3192,0.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003.95,28.46,55.6,31.4,2017/06/07,17:09:44,-88.2122283,30.4921348,27.672,4,
2017/06/13 16:45:06.3452,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.05,28.37,55.6,32.47,2017/06/07,17:09:45,-88.2122251,30.4921261,27.672,4,
2017/06/13 16:45:06.3457,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.05,28.37,55.6,32.47,2017/06/07,17:09:45,-88.2122251,30.4921261,27.56,4,
2017/06/13 16:45:06.3712,0.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.14,28.41,55.9,32.25,2017/06/07,17:09:46,-88.2122252,30.4921165,26.665,4,
