Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/06/13 17:01:10.8100,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.67,21.23,41.2,22.17,2013/09/01,00:00:19,0,0,-17,0,
2017/06/13 17:01:11.9763,1.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.39,31.88,58.4,37.83,2017/06/07,17:09:02,-88.2122429,30.4920875,36.184,5,
2017/06/13 17:01:12.0024,1.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.52,31.77,58.2,37.87,2017/06/07,17:09:03,-88.2122425,30.4920952,34.66,5,
2017/06/13 17:01:12.0285,1.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.43,31.82,58.3,37.92,2017/06/07,17:09:04,-88.2122418,30.4920953,34.412,5,
2017/06/13 17:01:12.0542,1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.62,31.84,56.9,38,2017/06/07,17:09:05,-88.2122422,30.4920957,34.135,5,
2017/06/13 17:01:12.0801,1.270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.58,31.67,56.5,37.66,2017/06/07,17:09:06,-88.2122415,30.4920951,34.246,5,
2017/06/13 17:01:12.1063,1.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.45,31.53,54.8,37.57,2017/06/07,17:09:07,-88.2122402,30.4920942,34.437,5,
2017/06/13 17:01:12.1325,1.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.48,31.56,57.1,37.57,2017/06/07,17:09:08,-88.2122392,30.4920962,34.15,5,
2017/06/13 17:01:12.1586,1.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.45,31.59,61,37.96,2017/06/07,17:09:09,-88.2122395,30.492101,33.086,5,
2017/06/13 17:01:12.1844,1.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.33,31.75,60.8,38.09,2017/06/07,17:09:10,-88.2122388,30.492105,32.2,5,
2017/06/13 17:01:12.2103,1.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.46,31.46,57.1,37.87,2017/06/07,17:09:11,-88.2122385,30.4921076,31.691,5,
2017/06/13 17:01:12.2363,1.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.48,31.51,55.8,37.7,2017/06/07,17:09:12,-88.212242,30.4921097,30.839,5,
2017/06/13 17:01:12.2626,1.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.43,31.53,54.8,38.22,2017/06/07,17:09:13,-88.2122413,30.4921115,30.407,5,
2017/06/13 17:01:12.2883,1.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.46,31.38,53.8,37.92,2017/06/07,17:09:14,-88.2122394,30.4921164,29.505,5,
2017/06/13 17:01:12.2888,1.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.46,31.38,53.8,37.92,2017/06/07,17:09:14,-88.2122394,30.4921164,29.505,5,
