Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/06/13 12:40:00.6716,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.1,22.01,40.1,24.27,2013/09/01,00:02:25,0,0,-17,0,
2017/06/13 12:40:00.9108,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.78,30.12,51.9,35.34,2017/06/07,17:52:02,-88.2122898,30.4921027,29.733,5,
2017/06/13 12:40:00.9265,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.71,30.18,51.7,35.39,2017/06/07,17:52:03,-88.2122604,30.492108,33.357,5,
2017/06/13 12:40:00.9577,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.57,29.73,71.1,35.39,2017/06/07,17:52:04,-88.2122589,30.4921093,34.118,5,
2017/06/13 12:40:00.9889,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.52,29.33,70,35.43,2017/06/07,17:52:05,-88.2122594,30.4921089,32.7,5,
2017/06/13 12:40:01.0046,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.58,29.37,69.4,35.77,2017/06/07,17:52:06,-88.2122507,30.4921091,33.434,5,
2017/06/13 12:40:01.0358,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.5,29.46,69.7,36.33,2017/06/07,17:52:07,-88.2122462,30.4921136,34.562,5,
2017/06/13 12:40:01.0670,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.56,29.64,70.9,36.89,2017/06/07,17:52:08,-88.2122474,30.4921103,33.175,5,
2017/06/13 12:40:01.0827,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.6,29.88,71.6,37.7,2017/06/07,17:52:09,-88.2122571,30.4921013,31.017,5,
2017/06/13 12:40:01.1140,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.48,29.94,70.9,37.92,2017/06/07,17:52:10,-88.212262,30.4920911,29.052,5,
2017/06/13 12:40:01.1452,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.48,30.06,71.5,36.29,2017/06/07,17:52:11,-88.2122545,30.4920896,30.101,5,
2017/06/13 12:40:01.1609,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.64,30.21,71.5,36.76,2017/06/07,17:52:12,-88.2122495,30.4920875,30.523,5,
2017/06/13 12:40:01.1921,0.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.62,30.08,70.9,36.76,2017/06/07,17:52:11,-88.212242,30.4920864,30.622,6,
2017/06/13 12:40:01.2233,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.64,30.23,71.2,36.41,2017/06/07,17:52:12,-88.2122392,30.4920841,30.228,6,
2017/06/13 12:40:01.2389,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.66,30.31,71.8,36.8,2017/06/07,17:52:13,-88.212236,30.4920831,29.834,6,
2017/06/13 12:40:01.2702,0.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.7,30.08,69.5,36.59,2017/06/07,17:52:14,-88.2122364,30.4920784,28.935,6,
2017/06/13 12:40:01.3014,0.630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.61,30,69.9,36.54,2017/06/07,17:52:15,-88.2122355,30.4920765,28.554,6,
2017/06/13 12:40:01.3170,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.55,29.91,69.4,37.57,2017/06/07,17:52:16,-88.2122391,30.4920733,27.564,6,
