Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/06/13 12:22:50.8153,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.47,21.49,43.4,23.59,2013/09/01,00:01:55,0,0,-17,0,
2017/06/13 12:22:51.2274,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.38,27.44,82.7,32.17,2017/06/07,17:53:32,-88.2122319,30.492201,103.532,4,
2017/06/13 12:22:51.2554,0.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.35,27.49,82.9,32.47,2017/06/07,17:53:33,-88.2122434,30.4922053,103.762,4,
2017/06/13 12:22:51.2793,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.16,27.41,82.6,32.55,2017/06/07,17:53:34,-88.2122398,30.492215,106.145,4,
2017/06/13 12:22:51.3074,0.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.23,27.33,82.3,30.71,2017/06/07,17:53:35,-88.2122319,30.4922325,110.339,4,
2017/06/13 12:22:51.3353,0.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.09,27.55,82.1,31.35,2017/06/07,17:53:36,-88.2122243,30.492237,112.027,4,
2017/06/13 12:22:51.3593,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.15,27.58,81.9,31.14,2017/06/07,17:53:37,-88.2122145,30.4922522,114.01,4,
2017/06/13 12:22:51.3834,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998.84,27.32,82.8,32.47,2017/06/07,17:53:38,-88.2122142,30.4922536,115.167,4,
2017/06/13 12:22:51.4114,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998.75,27.34,82.3,32.17,2017/06/07,17:53:39,-88.2122158,30.4922433,114.645,4,
2017/06/13 12:22:51.4353,0.620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998.59,27.48,82.8,32.42,2017/06/07,17:53:40,-88.2122201,30.4922331,114.615,4,
