Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/07/20 16:23:34.4665,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.38,21.69,43,23.29,2013/09/01,00:00:18,0,0,-17,0,
2017/07/20 16:23:34.9822,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.08,31.44,59,32.42,2017/07/19,16:41:02,-88.1603644,30.7073788,50.632,4,
2017/07/20 16:23:34.9978,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.05,31.5,58.7,32.47,2017/07/19,16:41:03,-88.1603627,30.7073938,51.299,5,
2017/07/20 16:23:35.0290,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.05,31.4,56.9,32.47,2017/07/19,16:41:04,-88.1603609,30.7073903,52.64,5,
2017/07/20 16:23:35.0603,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.05,31.3,57.2,32.55,2017/07/19,16:41:05,-88.160364,30.7074053,52.335,5,
2017/07/20 16:23:35.0759,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.07,31.26,57.5,32.64,2017/07/19,16:41:06,-88.1603545,30.7074005,53.763,5,
2017/07/20 16:23:35.1072,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.95,31.3,57.8,32.68,2017/07/19,16:41:07,-88.1603604,30.7074067,53.58,5,
2017/07/20 16:23:35.1384,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.04,31.18,57.6,32.68,2017/07/19,16:41:08,-88.1603569,30.707409,54.066,5,
2017/07/20 16:23:35.1540,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.09,31.04,56.3,32.08,2017/07/19,16:41:07,-88.1603524,30.7074045,54.531,5,
2017/07/20 16:23:35.1853,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.03,31.07,56.3,32.68,2017/07/19,16:41:08,-88.1603498,30.7074029,55.255,5,
