Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/07/20 16:06:43.3255,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.74,21.35,42.1,22.77,2013/09/01,00:00:24,0,0,-17,0,
2017/07/20 16:06:43.8724,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.34,30.65,56.8,32.25,2017/07/19,16:54:32,-88.1603966,30.7075086,28.427,5,
2017/07/20 16:06:43.9036,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.27,30.65,57.3,32.34,2017/07/19,16:54:33,-88.1604037,30.7075064,28.183,5,
2017/07/20 16:06:43.9349,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.22,30.61,56.8,32.17,2017/07/19,16:54:34,-88.1604086,30.7075059,27.998,5,
2017/07/20 16:06:43.9505,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.2,30.62,57.3,32.21,2017/07/19,16:54:35,-88.1604092,30.7075072,27.718,5,
2017/07/20 16:06:43.9818,0.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.3,30.55,57.3,32.12,2017/07/19,16:54:36,-88.1604075,30.7075075,27.671,5,
2017/07/20 16:06:44.0130,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.24,30.63,57.3,32.21,2017/07/19,16:54:37,-88.160404,30.7075077,28.003,5,
2017/07/20 16:06:44.0287,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.17,30.63,57.3,32.17,2017/07/19,16:54:38,-88.1603998,30.707509,28.466,5,
2017/07/20 16:06:44.0599,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.32,30.63,55.3,32.12,2017/07/19,16:54:39,-88.1603964,30.7075096,29.004,5,
2017/07/20 16:06:44.0912,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.27,30.63,54.5,32.25,2017/07/19,16:54:40,-88.1604014,30.7075105,28.911,5,
2017/07/20 16:06:44.1068,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.24,30.61,55.4,32.25,2017/07/19,16:54:41,-88.1604045,30.7075097,29.048,5,
2017/07/20 16:06:44.1380,0.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.11,30.69,56.8,32.21,2017/07/19,16:54:42,-88.1604047,30.7075097,29.046,5,
2017/07/20 16:06:44.1693,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.29,30.67,57.1,32.3,2017/07/19,16:54:43,-88.1604019,30.7075081,28.802,5,
2017/07/20 16:06:44.1849,0.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.22,30.63,56.5,32.12,2017/07/19,16:54:44,-88.1603959,30.7075058,28.963,5,
2017/07/20 16:06:44.2162,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.25,30.57,57,32.17,2017/07/19,16:54:45,-88.1603983,30.7075056,28.82,5,
2017/07/20 16:06:44.2474,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.23,30.67,57.6,32.17,2017/07/19,16:54:46,-88.1603945,30.7075046,29.049,5,
2017/07/20 16:06:44.2630,0.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.21,30.71,57.7,32.17,2017/07/19,16:54:47,-88.1603918,30.7075057,28.829,5,
2017/07/20 16:06:44.2943,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.2,30.71,57.8,32.25,2017/07/19,16:54:48,-88.1603944,30.7075061,28.737,5,
2017/07/20 16:06:44.3255,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.25,30.61,56.8,32.25,2017/07/19,16:54:49,-88.1603891,30.7075054,29.598,5,
2017/07/20 16:06:44.3412,1.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.16,30.83,57.3,32.21,2017/07/19,16:54:50,-88.1603847,30.707506,30.255,5,
2017/07/20 16:06:44.3724,1.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.23,30.93,59.2,32.38,2017/07/19,16:54:51,-88.1603845,30.7075061,30.517,5,
2017/07/20 16:06:44.4037,1.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.3,30.97,59.2,32.42,2017/07/19,16:54:52,-88.160379,30.707506,31.083,5,
2017/07/20 16:06:44.4193,1.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.27,31.05,60.2,32.47,2017/07/19,16:54:53,-88.1603775,30.7075069,30.938,5,
2017/07/20 16:06:44.4505,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.19,30.96,61,32.38,2017/07/19,16:54:54,-88.1603714,30.7075068,31.963,5,
2017/07/20 16:06:44.4818,1.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.26,30.99,59.1,32.42,2017/07/19,16:54:55,-88.1603686,30.7075063,32.635,5,
2017/07/20 16:06:44.4974,1.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.18,31.11,59.4,32.64,2017/07/19,16:54:56,-88.1603671,30.7075052,33.15,5,
2017/07/20 16:06:44.5287,1.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.26,31.15,59.1,32.64,2017/07/19,16:54:57,-88.160368,30.7075035,33.557,5,
2017/07/20 16:06:44.5599,1.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.25,31.15,59.5,32.73,2017/07/19,16:54:58,-88.160371,30.7075015,33.571,5,
2017/07/20 16:06:44.5755,1.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.27,31.11,59.4,32.6,2017/07/19,16:54:59,-88.1603789,30.7075003,33.406,5,
2017/07/20 16:06:44.6152,1.290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.15,30.94,58.7,32.68,2017/07/19,16:55:00,-88.1603865,30.7074984,33.344,5,
2017/07/20 16:06:44.6398,1.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.22,31.05,59,32.68,2017/07/19,16:55:01,-88.1603844,30.7074979,33.739,5,
2017/07/20 16:06:44.6554,1.330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.26,31.13,58.6,32.73,2017/07/19,16:55:02,-88.1603832,30.7074981,33.898,5,
2017/07/20 16:06:44.6867,1.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.21,31.11,58.5,32.12,2017/07/19,16:55:03,-88.1603867,30.7074953,34.606,7,
2017/07/20 16:06:44.7180,1.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.12,30.99,57.1,32.08,2017/07/19,16:55:04,-88.1603815,30.7074927,35.693,7,
2017/07/20 16:06:44.7336,1.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.23,30.85,56.1,32.68,2017/07/19,16:55:05,-88.1603802,30.7074913,36.276,7,
2017/07/20 16:06:44.7649,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.16,30.79,55.5,32.68,2017/07/19,16:55:06,-88.1603781,30.7074892,36.575,7,
2017/07/20 16:06:44.7805,1.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.17,30.67,55.5,32.6,2017/07/19,16:55:07,-88.1603725,30.7074876,37.09,7,
2017/07/20 16:06:44.8117,1.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.26,30.57,55.2,32.34,2017/07/19,16:55:08,-88.1603674,30.7074902,37.495,7,
2017/07/20 16:06:44.8430,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.2,30.65,55,32.12,2017/07/19,16:55:09,-88.160381,30.7074946,35.417,7,
2017/07/20 16:06:44.8586,1.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.1,30.69,61.1,32.38,2017/07/19,16:55:10,-88.1603807,30.7074989,35.989,7,
2017/07/20 16:06:44.8899,1.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.95,31.35,74.7,32.64,2017/07/19,16:55:11,-88.1603813,30.7075074,36.101,7,
2017/07/20 16:06:44.9211,1.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.94,31.92,76.7,33.88,2017/07/19,16:55:12,-88.1603831,30.707518,35.854,7,
2017/07/20 16:06:44.9367,1.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.85,32.25,76.9,35.26,2017/07/19,16:55:13,-88.1603832,30.7075268,35.633,7,
2017/07/20 16:06:44.9680,1.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.94,32.55,75.1,33.84,2017/07/19,16:55:14,-88.1603846,30.7075338,35.21,7,
2017/07/20 16:06:44.9992,1.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.91,32.55,75,35.47,2017/07/19,16:55:15,-88.1603833,30.7075346,36.404,7,
2017/07/20 16:06:45.0149,1.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.88,31.96,72.2,35.39,2017/07/19,16:55:16,-88.16038,30.7075375,37.392,7,
2017/07/20 16:06:45.0461,1.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.78,32.04,71.4,34.87,2017/07/19,16:55:17,-88.1603829,30.7075395,37.641,7,
2017/07/20 16:06:45.0774,1.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.66,31.96,71.2,34.27,2017/07/19,16:55:18,-88.1603864,30.7075424,38.416,7,
2017/07/20 16:06:45.0930,1.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.56,31.61,68.8,34.91,2017/07/19,16:55:19,-88.1603884,30.7075459,38.797,7,
2017/07/20 16:06:45.1242,1.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.63,31.6,67.3,34.83,2017/07/19,16:55:20,-88.1603805,30.7075473,40.26,7,
2017/07/20 16:06:45.1555,1.830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.37,31.61,68.7,34.87,2017/07/19,16:55:21,-88.1603768,30.7075467,42.471,7,
2017/07/20 16:06:45.1711,1.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.16,31.61,67.7,34.91,2017/07/19,16:55:22,-88.1603762,30.7075445,44.314,7,
2017/07/20 16:06:45.2024,1.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.23,31.58,67.6,35.43,2017/07/19,16:55:23,-88.1603777,30.7075442,45.366,7,
2017/07/20 16:06:45.2336,1.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.19,31.44,67.3,35.21,2017/07/19,16:55:24,-88.1603785,30.7075435,46.331,7,
2017/07/20 16:06:45.2492,1.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.1,31.56,67.1,35.64,2017/07/19,16:55:25,-88.1603807,30.7075458,46.007,7,
2017/07/20 16:06:45.2805,1.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.02,31.46,65.7,35.99,2017/07/19,16:55:26,-88.1603709,30.7075469,48.208,7,
2017/07/20 16:06:45.3117,1.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.98,31.34,65.4,36.33,2017/07/19,16:55:27,-88.1603676,30.7075505,49.42,7,
2017/07/20 16:06:45.3274,2.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.86,31.31,65.8,36.67,2017/07/19,16:55:28,-88.1603633,30.707551,50.223,7,
2017/07/20 16:06:45.3586,2.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.75,31.21,63.7,36.97,2017/07/19,16:55:29,-88.1603576,30.7075493,51.672,7,
2017/07/20 16:06:45.3899,2.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.7,31.19,63.6,37.36,2017/07/19,16:55:30,-88.1603562,30.7075487,53.508,7,
2017/07/20 16:06:45.4055,2.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.63,31.21,65.9,37.57,2017/07/19,16:55:31,-88.1603531,30.7075468,54.963,7,
2017/07/20 16:06:45.4367,2.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.6,31.07,63.7,37.7,2017/07/19,16:55:32,-88.1603521,30.7075441,55.601,7,
2017/07/20 16:06:45.4680,2.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.46,31.01,64.7,37.7,2017/07/19,16:55:33,-88.160355,30.7075426,56.2,7,
2017/07/20 16:06:45.4836,2.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.36,30.91,64,37.7,2017/07/19,16:55:34,-88.1603701,30.7075447,53.193,7,
2017/07/20 16:06:45.5149,2.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.29,30.85,63.2,37.74,2017/07/19,16:55:35,-88.1603609,30.7075469,54.025,7,
2017/07/20 16:06:45.5461,2.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.27,30.91,63.8,37.57,2017/07/19,16:55:36,-88.1603531,30.7075524,54.871,7,
2017/07/20 16:06:45.5617,2.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.1,30.91,63.7,37.79,2017/07/19,16:55:37,-88.1603485,30.7075539,55.605,7,
2017/07/20 16:06:45.5930,2.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.08,30.95,63.8,37.74,2017/07/19,16:55:38,-88.1603467,30.7075539,56.77,7,
2017/07/20 16:06:45.6242,2.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.87,30.95,64.2,37.92,2017/07/19,16:55:39,-88.1603514,30.7075527,56.756,7,
2017/07/20 16:06:45.6398,2.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.96,30.96,63.4,36.29,2017/07/19,16:55:40,-88.160362,30.7075576,56.271,7,
2017/07/20 16:06:45.6711,2.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.92,30.92,63.8,36.24,2017/07/19,16:55:41,-88.160367,30.7075628,56.315,7,
2017/07/20 16:06:45.6867,2.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.79,30.81,64,36.67,2017/07/19,16:55:42,-88.1603715,30.7075668,56.153,7,
2017/07/20 16:06:45.7180,2.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.66,30.85,61.9,36.84,2017/07/19,16:55:43,-88.1603718,30.7075692,56.871,7,
2017/07/20 16:06:45.7492,2.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.67,30.81,62,36.54,2017/07/19,16:55:44,-88.1603716,30.707571,57.619,7,
2017/07/20 16:06:45.7649,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.62,30.86,61.6,37.66,2017/07/19,16:55:45,-88.1603778,30.7075709,57.589,7,
