Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/07/20 16:03:00.2299,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.55,21.93,43.9,22.86,2017/07/20,21:03:00,0,0,-17,0,
2017/07/20 16:03:00.5425,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.42,30.29,69.3,32.51,2017/07/19,16:57:50,-88.1605053,30.7080963,113.55,4,
2017/07/20 16:03:00.5738,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.41,30.24,69.1,32.6,2017/07/19,16:57:51,-88.1603702,30.7080634,111.279,4,
2017/07/20 16:03:00.6050,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.35,30.23,69.6,32.6,2017/07/19,16:57:52,-88.160414,30.7078657,111.509,4,
2017/07/20 16:03:00.6206,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.41,30.13,69.5,32.55,2017/07/19,16:57:53,-88.1604814,30.7077898,118.414,4,
2017/07/20 16:03:00.6518,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.51,30.13,69.4,32.51,2017/07/19,16:57:54,-88.160516,30.7077426,123.973,4,
2017/07/20 16:03:00.6831,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.5,30.15,69.7,32.47,2017/07/19,16:57:55,-88.1604786,30.7076168,127.585,4,
2017/07/20 16:03:00.6987,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.48,30.19,69.8,32.47,2017/07/19,16:57:56,-88.160405,30.7074709,130.567,4,
2017/07/20 16:03:00.7300,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.35,30.08,69.5,32.34,2017/07/19,16:57:57,-88.1603306,30.7073717,129.216,4,
2017/07/20 16:03:00.7612,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.59,30.33,69.7,32.68,2017/07/19,16:58:14,-88.1604493,30.7077676,125.636,4,
2017/07/20 16:03:00.7769,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.84,30.27,69.4,32.68,2017/07/19,16:58:15,-88.1604378,30.7077683,123.862,4,
2017/07/20 16:03:00.8081,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.99,30.14,69.1,32.73,2017/07/19,16:58:16,-88.1604186,30.7077646,119.486,4,
2017/07/20 16:03:00.8393,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.99,30.2,69.6,32.17,2017/07/19,16:58:17,-88.1604079,30.7077273,118.471,4,
2017/07/20 16:03:00.8550,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.87,30.33,69.7,32.25,2017/07/19,16:58:18,-88.1604004,30.7077372,116.061,4,
2017/07/20 16:03:00.8863,0.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.25,30.31,68.4,32.3,2017/07/19,16:58:19,-88.1603808,30.7076813,115.153,4,
2017/07/20 16:03:00.9175,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.12,30.31,68.4,32.25,2017/07/19,16:58:20,-88.1603658,30.7076271,115.302,4,
2017/07/20 16:03:00.9331,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.25,30.33,69.7,32.21,2017/07/19,16:58:21,-88.1603327,30.7075376,115.765,4,
2017/07/20 16:03:00.9644,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.92,30.31,68.9,32.25,2017/07/19,16:58:27,-88.1602202,30.7073128,115.348,4,
2017/07/20 16:03:00.9956,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.93,30.29,69.6,32.34,2017/07/19,16:58:28,-88.1602122,30.7072544,112.511,4,
2017/07/20 16:03:01.0113,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.04,30.4,69.4,32.3,2017/07/19,16:58:29,-88.1601957,30.7071241,115.231,4,
2017/07/20 16:03:01.0425,0.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.99,30.39,69.6,32.47,2017/07/19,16:58:30,-88.1601958,30.7071121,112.758,4,
2017/07/20 16:03:01.0738,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.19,30.37,69.8,32.47,2017/07/19,16:58:31,-88.1601821,30.7070908,108.594,4,
2017/07/20 16:03:01.0894,0.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.23,30.39,70.4,32.55,2017/07/19,16:58:32,-88.1601788,30.7070897,105.672,4,
2017/07/20 16:03:01.1206,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.24,30.34,70.7,32.47,2017/07/19,16:58:33,-88.1601742,30.7070808,104.931,4,
2017/07/20 16:03:01.1519,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,30.35,70.5,32.47,2017/07/19,16:58:34,-88.1601726,30.7070902,104.3,4,
