Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2017/07/20 16:28:05.7619,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.34,21.83,45.9,22.13,2013/09/01,00:00:21,0,0,-17,0,
2017/07/20 16:28:06.2463,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.98,31.16,58.2,32.47,2017/07/19,16:38:10,-88.1604317,30.7073529,41.861,4,
2017/07/20 16:28:06.2776,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.15,31.22,58.8,32.3,2017/07/19,16:38:11,-88.1604458,30.7073304,42.52,4,
2017/07/20 16:28:06.3088,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.16,31.28,59.2,32.42,2017/07/19,16:38:12,-88.1604361,30.7073361,43.103,4,
2017/07/20 16:28:06.3244,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.04,31.18,58.9,32.38,2017/07/19,16:38:13,-88.1604353,30.7073267,43.756,4,
2017/07/20 16:28:06.3557,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.02,31.25,58,32.38,2017/07/19,16:38:14,-88.160415,30.7073313,45.261,4,
2017/07/20 16:28:06.3869,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.11,31.26,58.9,32.42,2017/07/19,16:38:15,-88.1603961,30.7073378,45.865,4,
2017/07/20 16:28:06.4026,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,31.22,58.9,32.42,2017/07/19,16:38:16,-88.1603811,30.7073401,46.441,4,
2017/07/20 16:28:06.4338,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.16,31.22,57.2,32.25,2017/07/19,16:38:17,-88.1603699,30.7073428,46.921,4,
2017/07/20 16:28:06.4651,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.16,31.22,57.8,32.21,2017/07/19,16:38:18,-88.1603593,30.7073413,47.387,4,
2017/07/20 16:28:06.4807,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.13,31.3,58.1,32.42,2017/07/19,16:38:19,-88.160345,30.7073431,47.406,4,
2017/07/20 16:28:06.5202,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.1,31.05,57.7,32.21,2017/07/19,16:38:20,-88.1603359,30.7073497,48.652,4,
2017/07/20 16:28:06.5404,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.1,31.12,59.1,32.21,2017/07/19,16:38:21,-88.1603243,30.7073573,48.895,4,
2017/07/20 16:28:06.5717,0.810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.09,31.14,57.1,32.34,2017/07/19,16:38:22,-88.1603143,30.7073638,49.621,4,
2017/07/20 16:28:06.5873,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.27,31.28,57,32.21,2017/07/19,16:38:23,-88.1603177,30.7073679,50.413,4,
2017/07/20 16:28:06.6185,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.08,31.15,56.6,32.3,2017/07/19,16:38:24,-88.160323,30.7073691,50.392,4,
