"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.884714300E-2,-5.656301379E-1,5.643732071E0,8.437167168E0
4.084969500E-2,-5.602431893E-1,5.648520470E0,8.432378769E0
4.285391400E-2,-5.506663918E-1,5.648520470E0,8.427590370E0
4.486026800E-2,-5.363011956E-1,5.643732071E0,8.412626266E0
4.686870600E-2,-5.410895944E-1,5.629366875E0,8.374319077E0
4.887927800E-2,-5.410895944E-1,5.605424881E0,8.321646690E0
5.089214300E-2,-5.315127969E-1,5.600636482E0,8.235455513E0
5.290703900E-2,-5.315127969E-1,5.586271286E0,8.182783127E0
5.492391400E-2,-5.315127969E-1,5.567117691E0,8.106168747E0
5.694229900E-2,-5.027823448E-1,5.576694489E0,8.048707962E0
5.896193500E-2,-4.788403511E-1,5.571906090E0,7.996035099E0
6.098245600E-2,-4.788403511E-1,5.581482887E0,7.948151112E0
6.300354900E-2,-4.405331016E-1,5.595848083E0,7.885901928E0
6.502479900E-2,-4.309563041E-1,5.600636482E0,7.828441143E0
6.704604900E-2,-4.213795066E-1,5.605424881E0,7.766191959E0
6.906729900E-2,-4.357447028E-1,5.591059685E0,7.699153900E0
7.106573700E-2,-4.405331016E-1,5.600636482E0,7.651269913E0
7.306469500E-2,-4.548983276E-1,5.605424881E0,7.636904716E0
7.506469500E-2,-4.501099288E-1,5.610213280E0,7.660846710E0
7.706615300E-2,-4.165911078E-1,5.552752495E0,7.833229542E0
7.906761200E-2,-3.878606856E-1,5.519233704E0,7.981669903E0
8.106907000E-2,-3.399766386E-1,5.476137638E0,7.991246700E0
8.307318500E-2,-3.256114423E-1,5.519233704E0,8.015189171E0
8.508016400E-2,-2.729389966E-1,5.605424881E0,8.015189171E0
8.709011200E-2,-1.580173075E-1,5.658097267E0,7.996035099E0
8.910302800E-2,-1.340752989E-1,5.705981255E0,7.905055523E0
9.111594500E-2,-1.628057212E-1,5.739500046E0,7.852383137E0
9.313006000E-2,-1.484405100E-1,5.725134850E0,7.775768757E0
9.514417400E-2,-1.244984865E-1,5.715558052E0,7.723096371E0
9.716089300E-2,-8.619125932E-2,5.672462463E0,7.718307495E0
9.918006000E-2,-9.576806426E-2,5.610213280E0,7.799710751E0
1.012012580E-1,-1.101332754E-1,5.538387299E0,7.938574314E0
1.032241740E-1,-1.053448766E-1,5.452195644E0,8.077438354E0
1.052481850E-1,-1.532289088E-1,5.413888454E0,8.173206329E0
1.072726120E-1,-1.484405100E-1,5.375581264E0,8.163629532E0
1.092954240E-1,-1.005564705E-1,5.380369663E0,8.019977570E0
1.113121430E-1,-8.619125932E-2,5.404311657E0,7.881113529E0
1.133247470E-1,-9.576806426E-2,5.433042049E0,7.857171535E0
1.153364140E-1,-7.661445439E-2,5.447407246E0,7.861959934E0
1.173438620E-1,-1.005564705E-1,5.461772442E0,7.818864346E0
1.193516740E-1,-1.197100878E-1,5.447407246E0,7.766191959E0
1.213599030E-1,-1.675941199E-1,5.433042049E0,7.732673168E0
1.233686010E-1,-2.298433632E-1,5.404311657E0,7.881113529E0
1.253778720E-1,-2.537853718E-1,5.385158062E0,7.933785915E0
1.273878200E-1,-2.873041928E-1,5.385158062E0,7.790133953E0
1.293984450E-1,-3.064578176E-1,5.409100056E0,7.656058311E0
1.314097990E-1,-3.256114423E-1,5.442618847E0,7.641693115E0
1.334219350E-1,-3.399766386E-1,5.480926037E0,7.646481514E0
1.354350600E-1,-3.687070608E-1,5.504868031E0,7.598597527E0
1.374488620E-1,-3.782838583E-1,5.504868031E0,7.502829552E0
1.394633930E-1,-3.782838583E-1,5.528810501E0,7.344812393E0
1.414783410E-1,-3.447650373E-1,5.519233704E0,7.181407928E0
1.434938100E-1,-3.112462163E-1,5.504868031E0,7.028179169E0
1.455095910E-1,-2.585737705E-1,5.509656429E0,6.908469200E0
1.475253720E-1,-1.723825186E-1,5.495291233E0,6.817489147E0
1.495412580E-1,-1.005564705E-1,5.485714436E0,6.745663166E0
1.515499030E-1,-2.394201607E-2,5.495291233E0,6.688202381E0
1.535588100E-1,4.788403213E-2,5.504868031E0,6.664260387E0
1.555682890E-1,1.101332754E-1,5.514444828E0,6.654683590E0
1.575781330E-1,1.771709323E-1,5.514444828E0,6.678625584E0
1.595886010E-1,2.106897533E-1,5.509656429E0,6.731297970E0
1.615995390E-1,2.059013397E-1,5.514444828E0,6.807912350E0
1.636111530E-1,2.106897533E-1,5.485714436E0,6.870162010E0
1.656233930E-1,1.915361285E-1,5.476137638E0,6.946776390E0
1.676361010E-1,1.867477298E-1,5.447407246E0,7.028179169E0
1.696494350E-1,1.244984865E-1,5.413888454E0,7.076063156E0
1.716631330E-1,1.149216816E-1,5.380369663E0,7.090428352E0
1.736772990E-1,6.703764945E-2,5.366004467E0,7.104793549E0
1.756917780E-1,1.915361360E-2,5.346850872E0,7.138312340E0
1.777062580E-1,-4.788403213E-2,5.327697277E0,7.224503517E0
1.797208930E-1,-9.576806426E-2,5.294178486E0,7.359177589E0
1.817325080E-1,-1.340752989E-1,5.217564106E0,7.488464355E0
1.837443310E-1,-1.580173075E-1,5.207987309E0,7.656058311E0
1.857561530E-1,-1.340752989E-1,5.217564106E0,7.699153900E0
1.877679760E-1,-1.149216816E-1,5.164891720E0,7.608174324E0
1.897800080E-1,-1.580173075E-1,5.121796131E0,7.569867134E0
1.917920390E-1,-1.628057212E-1,5.083488941E0,7.656058311E0
1.938041220E-1,-1.771709323E-1,5.064335346E0,7.794922352E0
1.958164140E-1,-2.298433632E-1,4.991910458E0,7.986458302E0
1.978287060E-1,-2.298433632E-1,4.896142483E0,8.139687538E0
1.998412060E-1,-2.346317619E-1,4.786009312E0,8.254609108E0
