"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.706615300E-2,-1.065233052E-1,3.022598661E-2,1.221023351E-1
7.906761200E-2,-1.139799356E-1,4.300878197E-2,1.242327988E-1
8.106907000E-2,-1.203713343E-1,5.685681105E-2,1.306242049E-1
8.307318500E-2,-1.288931966E-1,7.177007198E-2,1.370155960E-1
8.508016400E-2,-1.310236603E-1,8.987903595E-2,1.466026902E-1
8.709011200E-2,-1.342193633E-1,1.047922969E-1,1.551245600E-1
8.910302800E-2,-1.331541240E-1,1.133141592E-1,1.583202630E-1
9.111594500E-2,-1.342193633E-1,1.229012609E-1,1.636464298E-1
9.313006000E-2,-1.374150664E-1,1.250317246E-1,1.647116542E-1
9.514417400E-2,-1.384802908E-1,1.250317246E-1,1.604507267E-1
9.716089300E-2,-1.374150664E-1,1.207707971E-1,1.572550237E-1
9.918006000E-2,-1.416759938E-1,1.165098622E-1,1.508636326E-1
1.012012580E-1,-1.459369212E-1,1.154446304E-1,1.466026902E-1
1.032241740E-1,-1.480673850E-1,1.218360290E-1,1.423417628E-1
1.052481850E-1,-1.512630880E-1,1.410102248E-1,1.412765235E-1
1.072726120E-1,-1.512630880E-1,1.580539495E-1,1.434070021E-1
1.092954240E-1,-1.512630880E-1,1.729672104E-1,1.455374658E-1
1.113121430E-1,-1.523283273E-1,1.793586165E-1,1.444722265E-1
1.133247470E-1,-1.565892547E-1,1.836195439E-1,1.434070021E-1
1.153364140E-1,-1.629806459E-1,1.846847683E-1,1.380808353E-1
1.173438620E-1,-1.640458852E-1,1.836195439E-1,1.348851323E-1
1.193516740E-1,-1.672415882E-1,1.793586165E-1,1.284937263E-1
1.213599030E-1,-1.715025157E-1,1.761629134E-1,1.231675670E-1
1.233686010E-1,-1.789591461E-1,1.782933772E-1,1.221023351E-1
1.253778720E-1,-1.778939217E-1,1.910761744E-1,1.242327988E-1
1.273878200E-1,-1.832200736E-1,1.995980442E-1,1.316894293E-1
1.293984450E-1,-1.906767040E-1,2.017285079E-1,1.402112991E-1
1.314097990E-1,-2.034595013E-1,2.017285079E-1,1.519288570E-1
1.334219350E-1,-2.130466104E-1,2.091851383E-1,1.593854874E-1
1.354350600E-1,-2.311555594E-1,2.145113051E-1,1.721682847E-1
1.374488620E-1,-2.460688353E-1,2.145113051E-1,1.817553788E-1
1.394633930E-1,-2.620473206E-1,2.102503628E-1,1.924077123E-1
1.414783410E-1,-2.801562846E-1,1.985328048E-1,2.030600458E-1
1.434938100E-1,-2.993304729E-1,1.868152469E-1,2.094514370E-1
1.455095910E-1,-3.217003644E-1,1.644453406E-1,2.158428431E-1
1.475253720E-1,-3.462007344E-1,1.410102248E-1,2.201037705E-1
1.495412580E-1,-3.749620318E-1,1.133141592E-1,2.232994735E-1
1.515499030E-1,-4.026580751E-1,8.987903595E-2,2.232994735E-1
1.535588100E-1,-4.303541481E-1,6.644391268E-2,2.190385461E-1
1.555682890E-1,-4.633763731E-1,3.874785081E-2,2.137123793E-1
1.575781330E-1,-4.942681193E-1,1.744319126E-2,2.041252851E-1
1.595886010E-1,-5.230293870E-1,-1.731003635E-3,1.913424879E-1
1.615995390E-1,-5.539211631E-1,-1.344856713E-2,1.774944514E-1
1.636111530E-1,-5.794867873E-1,-2.623136342E-2,1.636464298E-1
1.656233930E-1,-6.103785038E-1,-4.327509180E-2,1.519288570E-1
1.676361010E-1,-6.348788738E-1,-4.966649041E-2,1.391460598E-1
1.696494350E-1,-6.604444981E-1,-5.818835273E-2,1.284937263E-1
1.716631330E-1,-6.806839108E-1,-6.777545065E-2,1.167761683E-1
1.736772990E-1,-6.987928748E-1,-7.842778414E-2,1.103847697E-1
1.756917780E-1,-7.137061357E-1,-8.694964647E-2,1.039933711E-1
1.777062580E-1,-7.339455485E-1,-9.440627694E-2,1.018629074E-1
1.797208930E-1,-7.467283607E-1,-9.866721183E-2,1.018629074E-1
1.817325080E-1,-7.616416216E-1,-9.866721183E-2,1.029281393E-1
1.837443310E-1,-7.722939253E-1,-9.547150880E-2,1.061238423E-1
1.857561530E-1,-7.797505856E-1,-9.227581322E-2,1.071890742E-1
1.877679760E-1,-7.882724404E-1,-8.268871158E-2,1.103847697E-1
1.897800080E-1,-7.989247441E-1,-7.949301600E-2,1.125152409E-1
1.917920390E-1,-8.074466586E-1,-7.416684926E-2,1.167761683E-1
1.938041220E-1,-8.180989623E-1,-6.138405204E-2,1.210371032E-1
1.958164140E-1,-8.276860714E-1,-3.794892505E-2,1.221023351E-1
1.978287060E-1,-8.362079263E-1,-1.025286783E-2,1.306242049E-1
1.998412060E-1,-8.500559330E-1,2.383458801E-2,1.391460598E-1
2.018537060E-1,-8.639039993E-1,6.218297780E-2,1.466026902E-1
2.038663620E-1,-8.766867518E-1,1.079879999E-1,1.593854874E-1
2.058791220E-1,-8.969262242E-1,1.580539495E-1,1.721682847E-1
2.078900080E-1,-9.267527461E-1,2.177069932E-1,1.924077123E-1
2.099011010E-1,-9.789491296E-1,3.125127256E-1,2.264951766E-1
2.119122470E-1,-1.026884675E0,3.892095089E-1,2.595174015E-1
2.139237060E-1,-1.064167738E0,4.414059222E-1,2.808220685E-1
2.159354760E-1,-1.091863871E0,4.776238501E-1,2.946700752E-1
2.179474030E-1,-1.117429495E0,5.074504018E-1,3.021267056E-1
2.199596430E-1,-1.132342696E0,5.351464152E-1,2.999962568E-1
2.219719870E-1,-1.145125508E0,5.564510822E-1,2.925396264E-1
2.239845910E-1,-1.152582169E0,5.756253004E-1,2.797568142E-1
2.259974560E-1,-1.163234472E0,5.830819011E-1,2.616478503E-1
2.280103720E-1,-1.178147674E0,5.798861980E-1,2.392779738E-1
2.300234970E-1,-1.185604334E0,5.639077425E-1,2.126471400E-1
2.320354240E-1,-1.188800097E0,5.457987785E-1,1.838858575E-1
2.340475600E-1,-1.194126248E0,5.234288573E-1,1.529940963E-1
2.360598510E-1,-1.196256638E0,5.010589957E-1,1.242327988E-1
2.380721430E-1,-1.198387146E0,4.797543287E-1,9.547150880E-2
2.400845910E-1,-1.204778552E0,4.477973282E-1,6.990591437E-2
2.420962580E-1,-1.207974195E0,4.169055820E-1,4.966649041E-2
2.441081330E-1,-1.212235212E0,3.913399875E-1,3.049229458E-2
2.461200600E-1,-1.218626618E0,3.604482114E-1,1.770949923E-2
2.481320390E-1,-1.222887516E0,3.348826170E-1,7.057168987E-3
2.501442260E-1,-1.227148414E0,3.039908707E-1,2.796236658E-3
2.521564140E-1,-1.230344176E0,2.784252763E-1,-3.994623839E-4
2.541688100E-1,-1.228213668E0,2.517944574E-1,3.861469682E-3
2.561812580E-1,-1.229278922E0,2.304897904E-1,8.122402243E-3
2.581937060E-1,-1.230344176E0,1.953371018E-1,1.344856713E-2
2.602063100E-1,-1.231409431E0,1.676410437E-1,2.197043039E-2
2.622178200E-1,-1.231409431E0,1.474016160E-1,3.155753016E-2
2.642295390E-1,-1.230344176E0,1.229012609E-1,4.220985994E-2
2.662412580E-1,-1.227148414E0,1.058575287E-1,5.179695413E-2
2.682532370E-1,-1.219691753E0,8.455286920E-2,6.138405204E-2
2.702654240E-1,-1.214365602E0,6.324820966E-2,6.777545065E-2
2.722778720E-1,-1.207974195E0,4.513924941E-2,7.736254483E-2
2.742904760E-1,-1.198387146E0,2.809552103E-2,8.375394344E-2
2.763030810E-1,-1.187734842E0,2.489982173E-2,8.908011019E-2
2.783158410E-1,-1.171756268E0,1.424749196E-2,9.440627694E-2
2.803287060E-1,-1.160038710E0,5.725627299E-3,9.866721183E-2
2.823393830E-1,-1.142995000E0,-6.657706108E-4,9.866721183E-2
2.843500600E-1,-1.131277442E0,-9.187635034E-3,1.007976755E-1
2.863608410E-1,-1.115298986E0,-1.557903271E-2,1.029281393E-1
2.883717780E-1,-1.098255277E0,-2.197043039E-2,1.007976755E-1
2.903828720E-1,-1.081211567E0,-1.983996481E-2,9.973244369E-2
2.923942260E-1,-1.057776451E0,-1.557903271E-2,9.760197252E-2
2.944061010E-1,-1.041797876E0,-1.131810062E-2,9.334104508E-2
2.964181850E-1,-1.021558523E0,-4.926702939E-3,9.014534205E-2
2.984306850E-1,-1.003449559E0,-1.731003635E-3,8.268871158E-2
3.004435490E-1,-9.832100868E-1,8.921326138E-3,7.416684926E-2
