"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.606060781E0,3.069122576E1,-8.817867335E1,8.462786680E1,0.000000000E0,NaN,2.366908073E1,1.800147057E1
3.578107805E0,3.069125730E1,-8.817862178E1,7.368789337E1,0.000000000E0,NaN,2.365048599E1,1.465470028E1
4.582240248E0,3.069122885E1,-8.817862238E1,7.876368357E1,0.000000000E0,NaN,1.850960922E1,1.033975029E1
5.577550348E0,3.069121775E1,-8.817863606E1,8.290021004E1,0.000000000E0,NaN,1.454591274E1,7.106436729E0
6.577647322E0,3.069123816E1,-8.817862806E1,8.325563062E1,0.000000000E0,NaN,1.155576706E1,5.378945827E0
7.578877578E0,3.069125899E1,-8.817861072E1,8.306314100E1,0.000000000E0,NaN,1.054987907E1,4.665615082E0
8.577527521E0,3.069126662E1,-8.817860775E1,8.378134649E1,0.000000000E0,NaN,1.105440140E1,4.837831974E0
9.580171580E0,3.069130925E1,-8.817858036E1,8.324628062E1,0.000000000E0,NaN,7.531847954E0,3.993051529E0
1.058282335E1,3.069131227E1,-8.817858043E1,8.347009815E1,0.000000000E0,NaN,7.511893749E0,3.893569708E0
1.158740022E1,3.069133317E1,-8.817857004E1,8.414412306E1,2.800000012E-1,1.773999939E2,6.355748177E0,3.590853691E0
1.258372276E1,3.069133529E1,-8.817857105E1,8.511616987E1,0.000000000E0,NaN,6.628639698E0,3.710981131E0
1.358418104E1,3.069135541E1,-8.817856056E1,8.516501128E1,0.000000000E0,NaN,5.508688450E0,3.278793335E0
1.458167739E1,3.069135461E1,-8.817855998E1,8.514212280E1,0.000000000E0,NaN,4.684886456E0,2.854059219E0
1.557971327E1,3.069136217E1,-8.817856081E1,8.470755637E1,0.000000000E0,NaN,4.473638058E0,2.634175062E0
1.659239092E1,3.069136876E1,-8.817856035E1,8.404245993E1,0.000000000E0,NaN,4.414413929E0,2.512851715E0
1.757632331E1,3.069137019E1,-8.817855906E1,8.393528326E1,0.000000000E0,NaN,4.356612206E0,2.500000000E0
1.857872341E1,3.069135880E1,-8.817855227E1,8.265317422E1,0.000000000E0,NaN,4.813533306E0,2.759523392E0
1.957783190E1,3.069135807E1,-8.817855102E1,8.229141875E1,0.000000000E0,NaN,4.587343216E0,2.553567410E0
2.058388570E1,3.069134164E1,-8.817856079E1,8.283907607E1,1.870000005E0,2.248000031E2,4.854566097E0,2.730525255E0
2.158461184E1,3.069136393E1,-8.817854091E1,8.263615082E1,4.300000072E-1,1.760000000E2,4.588475704E0,2.717273474E0
2.257992465E1,3.069136968E1,-8.817853506E1,8.210252492E1,0.000000000E0,NaN,5.080946922E0,3.389015675E0
2.358121308E1,3.069136138E1,-8.817852850E1,8.103074463E1,0.000000000E0,NaN,5.336038113E0,3.762719393E0
2.458015745E1,3.069137570E1,-8.817851532E1,8.072411479E1,0.000000000E0,NaN,5.387669086E0,3.939263105E0
2.558344812E1,3.069137298E1,-8.817851276E1,7.965929459E1,0.000000000E0,NaN,5.276821136E0,3.785331011E0
2.658104510E1,3.069137187E1,-8.817851044E1,7.890898936E1,0.000000000E0,NaN,5.020259857E0,3.455299377E0
2.758034374E1,3.069136609E1,-8.817851020E1,7.864757273E1,0.000000000E0,NaN,4.650859833E0,3.008828640E0
2.858812462E1,3.069135225E1,-8.817851100E1,7.814463540E1,0.000000000E0,NaN,5.450513840E0,3.673915863E0
2.958798394E1,3.069135057E1,-8.817851420E1,7.733488033E1,0.000000000E0,NaN,5.377074242E0,3.760402918E0
3.057753555E1,3.069134929E1,-8.817851581E1,7.818326793E1,0.000000000E0,NaN,5.466567516E0,3.618301153E0
3.157995705E1,3.069134670E1,-8.817851389E1,7.791880165E1,0.000000000E0,NaN,5.191768169E0,3.286009550E0
3.258105528E1,3.069135284E1,-8.817851165E1,7.852232111E1,0.000000000E0,NaN,5.756650448E0,3.678988934E0
