"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.642697470E-1,-3.290340042E1,-3.918639755E1,-2.236260033E1
1.742697470E-1,-3.290340042E1,-3.918639755E1,-2.236260033E1
1.861046430E-1,-3.286679840E1,-3.912540054E1,-2.287500000E1
1.961046430E-1,-3.285459900E1,-3.901559830E1,-2.328979874E1
2.061046430E-1,-3.297660065E1,-3.888140106E1,-2.344840050E1
2.161046430E-1,-3.300099945E1,-3.873500061E1,-2.348499870E1
2.261046430E-1,-3.298880005E1,-3.860079956E1,-2.347279930E1
2.361046430E-1,-3.297660065E1,-3.836899948E1,-2.376560020E1
2.461046430E-1,-3.296440125E1,-3.796640015E1,-2.425359917E1
2.561046430E-1,-3.295219803E1,-3.753939819E1,-2.468059921E1
2.661046430E-1,-3.291559982E1,-3.710020065E1,-2.496119881E1
2.761046430E-1,-3.291559982E1,-3.657559967E1,-2.521739960E1
2.861046430E-1,-3.283020020E1,-3.605099869E1,-2.564439964E1
2.961046430E-1,-3.286679840E1,-3.551419830E1,-2.610799980E1
3.061046430E-1,-3.287899780E1,-3.496519852E1,-2.662039948E1
3.161046430E-1,-3.287899780E1,-3.451379776E1,-2.682779884E1
3.261046430E-1,-3.289120102E1,-3.405019760E1,-2.703520012E1
3.361046430E-1,-3.290340042E1,-3.363539886E1,-2.724259949E1
3.461046430E-1,-3.296440125E1,-3.325719833E1,-2.742560005E1
3.561046430E-1,-3.296440125E1,-3.297660065E1,-2.760859871E1
3.661046430E-1,-3.292779922E1,-3.272039795E1,-2.759639931E1
3.761046430E-1,-3.281800079E1,-3.240319824E1,-2.773060036E1
3.861046430E-1,-3.273260117E1,-3.212260056E1,-2.785260010E1
3.961046430E-1,-3.264719772E1,-3.189079857E1,-2.791359901E1
4.061046430E-1,-3.259840012E1,-3.167119980E1,-2.786479950E1
4.161046430E-1,-3.256179810E1,-3.140279961E1,-2.786479950E1
4.261046430E-1,-3.262279892E1,-3.097579956E1,-2.788920021E1
4.361046430E-1,-3.262279892E1,-3.062199974E1,-2.774279976E1
4.461046430E-1,-3.262279892E1,-3.026819992E1,-2.773060036E1
4.561046430E-1,-3.270819855E1,-2.992659950E1,-2.769400024E1
4.661046430E-1,-3.281800079E1,-2.957279968E1,-2.766959953E1
