Split,Time,Time Prev,TOD,O Pos,C pos,G pos,Dist
Lap 1,00:07:12,00:07:12,09:28:19,24,4,23,1.46
Lap 2,00:14:17,00:07:05,09:35:24,16,3,16,2.92
Lap 3,00:21:12,00:06:54,09:42:19,19,4,19,4.38
Lap 4,00:27:57,00:06:45,09:49:04,10,2,10,5.84
Lap 5,00:34:58,00:07:01,09:56:05,27,4,27,7.3
Lap 6,00:41:33,00:06:35,10:02:40,6,1,6,8.76
Lap 7,00:48:27,00:06:54,10:09:34,10,1,10,10.22
Lap 8,00:55:24,00:06:57,10:16:31,10,1,10,11.68
Lap 9,01:02:27,00:07:02,10:23:34,22,4,22,13.14
Lap 10,01:09:38,00:07:11,10:30:45,18,2,18,14.6
Lap 11,01:16:39,00:07:01,10:37:46,10,1,10,16.06
Lap 12,01:23:44,00:07:04,10:44:51,18,5,18,17.52
Lap 13,01:30:47,00:07:02,10:51:54,18,2,18,18.98
Lap 14,01:37:54,00:07:06,10:59:01,16,3,15,20.44
Lap 15,01:44:47,00:06:52,11:05:54,10,1,10,21.9
Lap 16,01:51:44,00:06:57,11:12:51,16,2,16,23.36
Lap 17,01:59:02,00:07:17,11:20:09,23,3,22,24.82
Lap 18,02:06:26,00:07:23,11:27:33,17,4,16,26.28
Lap 19,02:13:35,00:07:09,11:34:42,14,4,14,27.74
Lap 20,02:20:49,00:07:14,11:41:56,16,3,16,29.2
Lap 21,02:27:59,00:07:10,11:49:06,20,4,20,30.66
Lap 22,02:35:02,00:07:03,11:56:09,11,1,11,32.12
Lap 23,02:42:06,00:07:04,12:03:13,10,2,10,33.58
Lap 24,02:49:07,00:07:00,12:10:14,8,1,8,35.04
Lap 25,02:56:13,00:07:06,12:17:20,6,1,6,36.5
Lap 26,03:03:18,00:07:04,12:24:25,14,3,14,37.96
Lap 27,03:10:17,00:06:58,12:31:24,4,1,4,39.42
Lap 28,03:17:26,00:07:09,12:38:33,9,1,9,40.88
Lap 29,03:24:17,00:06:51,12:45:24,9,2,9,42.34
Lap 30,03:31:15,00:06:57,12:52:22,10,1,10,43.8
Lap 31,03:38:09,00:06:54,12:59:16,7,3,7,45.26
Lap 32,03:45:14,00:07:05,13:06:21,15,2,15,46.72
Lap 33,03:52:04,00:06:49,13:13:11,6,1,6,48.18
Lap 34,03:58:52,00:06:48,13:19:59,4,1,4,49.64
Lap 35,04:05:49,00:06:57,13:26:56,12,2,12,51.1
Lap 36,04:12:36,00:06:47,13:33:43,5,2,5,52.56
Lap 37,04:19:19,00:06:42,13:40:26,3,1,3,54.02
